filename,filepath,model_logit,raw_score,aesthetic_score,rank,category
1077.jpg,boring/1077.jpg,5.638426,5.6384,10.0,1,moderate
363.jpg,boring/363.jpg,5.646371,5.6464,10.0,2,moderate
366.jpg,boring/366.jpg,5.635329,5.6353,9.81,3,moderate
745.jpg,boring/745.jpg,5.609685,5.6097,8.0619,4,moderate
982.jpg,boring/982.jpg,5.59191,5.5919,6.8503,5,moderate
679.jpg,boring/679.jpg,5.588404,5.5884,6.6113,6,moderate
418.jpg,boring/418.jpg,5.577999,5.578,5.902,7,moderate
537.jpg,boring/537.jpg,5.575932,5.5759,5.7611,8,moderate
361.jpg,boring/361.jpg,5.573041,5.573,5.564,9,moderate
422.jpg,boring/422.jpg,5.572157,5.5722,5.5038,10,moderate
389.jpg,boring/389.jpg,5.562858,5.5629,4.8699,11,moderate
1026.jpg,boring/1026.jpg,5.556387,5.5564,4.4288,12,moderate
940.jpg,boring/940.jpg,5.555333,5.5553,4.3569,13,moderate
373.jpg,boring/373.jpg,5.551788,5.5518,4.1153,14,moderate
897.jpg,boring/897.jpg,5.545404,5.5454,3.6801,15,moderate
432.jpg,boring/432.jpg,5.544797,5.5448,3.6387,16,moderate
384.jpg,boring/384.jpg,5.532964,5.533,2.8321,17,moderate
668.jpg,boring/668.jpg,5.531498,5.5315,2.7322,18,moderate
889.jpg,boring/889.jpg,5.527345,5.5273,2.4491,19,moderate
899.jpg,boring/899.jpg,5.523475,5.5235,2.1853,20,moderate
1034.jpg,boring/1034.jpg,5.516673,5.5167,1.7216,21,moderate
1014.jpg,boring/1014.jpg,5.504911,5.5049,1.0,22,moderate
1066.jpg,boring/1066.jpg,5.502064,5.5021,1.0,23,moderate
