filename,filepath,aesthetic_score,category
IMG_0610.HEIC,xi-an/IMG_0610.HEIC,6.7788,moderate
IMG_0611.HEIC,xi-an/IMG_0611.HEIC,7.0181,exciting
IMG_0612.HEIC,xi-an/IMG_0612.HEIC,8.4234,exciting
IMG_0613.HEIC,xi-an/IMG_0613.HEIC,7.9463,exciting
IMG_0614.HEIC,xi-an/IMG_0614.HEIC,8.1201,exciting
IMG_0615.HEIC,xi-an/IMG_0615.HEIC,8.3579,exciting
IMG_0616.HEIC,xi-an/IMG_0616.HEIC,7.6193,exciting
IMG_0617.HEIC,xi-an/IMG_0617.HEIC,7.3798,exciting
IMG_0618.HEIC,xi-an/IMG_0618.HEIC,6.9471,moderate
IMG_0619.HEIC,xi-an/IMG_0619.HEIC,7.0415,exciting
IMG_0620.HEIC,xi-an/IMG_0620.HEIC,7.3178,exciting
IMG_0621.HEIC,xi-an/IMG_0621.HEIC,7.352,exciting
IMG_0622.HEIC,xi-an/IMG_0622.HEIC,7.4189,exciting
IMG_0623.HEIC,xi-an/IMG_0623.HEIC,7.3067,exciting
IMG_0624.HEIC,xi-an/IMG_0624.HEIC,6.5246,moderate
IMG_0625.HEIC,xi-an/IMG_0625.HEIC,6.9541,moderate
IMG_0627.HEIC,xi-an/IMG_0627.HEIC,6.7351,moderate
IMG_0628.HEIC,xi-an/IMG_0628.HEIC,6.6934,moderate
IMG_0629.HEIC,xi-an/IMG_0629.HEIC,6.5352,moderate
IMG_0631.HEIC,xi-an/IMG_0631.HEIC,7.0673,exciting
IMG_0632.HEIC,xi-an/IMG_0632.HEIC,7.0676,exciting
IMG_0633.HEIC,xi-an/IMG_0633.HEIC,7.0459,exciting
IMG_0634.HEIC,xi-an/IMG_0634.HEIC,6.5712,moderate
IMG_0635.HEIC,xi-an/IMG_0635.HEIC,6.4902,moderate
IMG_0636.HEIC,xi-an/IMG_0636.HEIC,6.5556,moderate
IMG_0637.HEIC,xi-an/IMG_0637.HEIC,6.5476,moderate
IMG_0638.HEIC,xi-an/IMG_0638.HEIC,7.5205,exciting
IMG_0639.HEIC,xi-an/IMG_0639.HEIC,7.7036,exciting
IMG_0640.HEIC,xi-an/IMG_0640.HEIC,7.7114,exciting
IMG_0641.HEIC,xi-an/IMG_0641.HEIC,7.6127,exciting
IMG_0642.HEIC,xi-an/IMG_0642.HEIC,8.3037,exciting
IMG_0643.HEIC,xi-an/IMG_0643.HEIC,7.7357,exciting
IMG_0644.HEIC,xi-an/IMG_0644.HEIC,7.8293,exciting
IMG_0645.HEIC,xi-an/IMG_0645.HEIC,7.8146,exciting
IMG_0646.HEIC,xi-an/IMG_0646.HEIC,7.699,exciting
IMG_0647.HEIC,xi-an/IMG_0647.HEIC,7.64,exciting
